Postcode,Latitude,Longitude
RG11AF,51.457494,-0.969301
RG11AR,51.457149,-0.96877
RG11AX,51.458406,-0.969741
RG11AZ,51.457575,-0.9702
RG11BU,51.457619,-0.97127
RG11BX,51.456889,-0.974122
RG11DA,51.456507,-0.969511
RG11DB,51.456874,-0.971266
RG11DD,51.431561,-0.971252
RG11DG,51.457112,-0.970893
RG11DN,51.457083,-0.971614
RG11DP,51.45696,-0.97279
RG11DT,51.457378,-0.973492
RG11DX,51.456933,-0.974035
RG11ED,51.457672,-0.973019
RG11EG,51.457383,-0.972989
RG11EH,51.456717,-0.976098
RG11EL,51.456397,-0.976508
RG11EN,51.456406,-0.976422
RG11EP,51.456478,-0.974391
RG11EQ,51.457435,-0.972757
RG11ES,51.457672,-0.977092
RG11ET,51.45734,-0.973234
RG11EU,51.456281,-0.973367
RG11EX,51.456527,-0.972777
RG11HD,51.456154,-0.977464
RG11HE,51.456575,-0.971179
RG11HN,51.458806,-0.976368
RG11JF,51.431561,-0.971252
RG11JX,51.457328,-0.971939
RG11LD,51.457108,-0.97239
RG11LG,51.457189,-0.97246
RG11LH,51.457063,-0.97227
RG11LT,51.458368,-0.971527
RG11LX,51.458082,-0.972714
RG11LY,51.458772,-0.972289
RG11LZ,51.458378,-0.971642
RG11NA,51.45753,-0.976497
RG11NB,51.45898,-0.975537
RG11NF,51.458326,-0.972867
RG11NG,51.45683,-0.975563
RG11NH,51.459093,-0.976275
RG11NJ,51.45683,-0.975563
RG11NL,51.457397,-0.97568
RG11NP,51.458351,-0.975759
RG11NR,51.457671,-0.97304
RG11NS,51.457912,-0.976978
RG11NT,51.457252,-0.976619
RG11NU,51.457779,-0.975953
RG11NX,51.457402,-0.977249
RG11NY,51.457559,-0.976655
RG11NZ,51.457865,-0.976691
RG11PA,51.458541,-0.975677
RG11PB,51.458427,-0.976261
RG11PD,51.458251,-0.976711
RG11PE,51.457586,-0.975496
RG11PF,51.458728,-0.975722
RG11PJ,51.457145,-0.970475
RG11PL,51.457619,-0.97127
RG11PR,51.458721,-0.975866
RG11PT,51.45842,-0.97334
RG11PW,51.457418,-0.970664
RG11PZ,51.457687,-0.970808
RG11QB,51.457245,-0.970574
RG11QH,51.457122,-0.969885
RG11SB,51.457804,-0.969648
RG11SN,51.456212,-0.971584
RG11ST,51.456333,-0.971199
RG11SY,51.456182,-0.972289
RG11TG,51.456321,-0.971875
RG11TT,51.456029,-0.975523
RG11TZ,51.456044,-0.976078
RG11YE,51.458406,-0.969741
RG12AA,51.455863,-0.973023
RG12AD,51.455869,-0.972634
RG12AE,51.455901,-0.97318
RG12AF,51.455725,-0.974724
RG12AG,51.452869,-0.971017
RG12AH,51.453812,-0.970852
RG12AJ,51.455733,-0.974566
RG12AN,51.455232,-0.96977
RG12AP,51.455335,-0.974165
RG12AQ,51.453569,-0.971865
RG12AR,51.451026,-0.967965
RG12AS,51.452887,-0.972053
RG12AT,51.453894,-0.969944
RG12AX,51.455367,-0.972818
RG12AZ,51.455383,-0.972602
RG12BA,51.455394,-0.971839
RG12BB,51.455316,-0.972085
RG12BD,51.455237,-0.971217
RG12BG,51.447003,-0.971624
RG12BH,51.455647,-0.970704
RG12BL,51.448072,-0.96732
RG12BP,51.450184,-0.967099
RG12BT,51.455762,-0.971715
RG12BU,51.455773,-0.971945
RG12BX,51.450443,-0.970029
RG12DE,51.455558,-0.969949
RG12DG,51.456006,-0.969781
RG12DP,51.45529,-0.970171
RG12DT,51.455333,-0.969804
RG12EA,51.45526,-0.968726
RG12EG,51.455811,-0.96893
RG12GU,51.450122,-0.966373
RG12GW,51.450122,-0.966373
RG12HB,51.455223,-0.969548
RG12HE,51.454864,-0.969807
RG12HF,51.454679,-0.970243
RG12HG,51.454629,-0.969654
RG12HN,51.452184,-0.969587
RG12HS,51.450231,-0.972588
RG12HT,51.452032,-0.96882
RG12HX,51.455092,-0.973256
RG12JB,51.454886,-0.971124
RG12JF,51.454282,-0.972151
RG12JR,51.453931,-0.972988
RG12LG,51.454969,-0.974475
RG12LN,51.454598,-0.975325
RG12LR,51.453825,-0.97322
RG12LS,51.453961,-0.974369
RG12LU,51.452839,-0.973573
RG12NA,51.448943,-0.973451
RG12ND,51.449781,-0.973605
RG12NF,51.448476,-0.973433
RG12NH,51.44938,-0.973988
RG12NJ,51.450866,-0.972271
RG12NL,51.449451,-0.971843
RG12NN,51.450143,-0.971784
RG12NP,51.449702,-0.970729
RG12NQ,51.450473,-0.972554
RG12NR,51.449564,-0.970294
RG12NS,51.449236,-0.970998
RG12NT,51.448667,-0.970666
RG12NU,51.4478,-0.970196
RG12NW,51.450257,-0.971493
RG12NX,51.449117,-0.971613
RG12NY,51.449438,-0.971261
RG12NZ,51.448436,-0.972038
RG12PD,51.45156,-0.969392
RG12PJ,51.448872,-0.970431
RG12PL,51.449282,-0.969883
RG12PN,51.448812,-0.969663
RG12PP,51.448018,-0.969457
RG12PQ,51.450068,-0.968461
RG12PR,51.447783,-0.969275
RG12PS,51.447596,-0.968503
RG12PU,51.446739,-0.969213
RG12PX,51.446947,-0.969245
RG12PY,51.447593,-0.971237
RG12PZ,51.447305,-0.969099
RG12QA,51.447341,-0.971228
RG12QB,51.448164,-0.971713
RG12QE,51.448719,-0.96734
RG12QF,51.448473,-0.967965
RG12QG,51.448916,-0.967307
RG12QH,51.448478,-0.96654
RG12QL,51.451004,-0.971398
RG12QN,51.448138,-0.9678
RG12QP,51.45028,-0.969903
RG12QR,51.450075,-0.970274
RG12QS,51.450802,-0.971107
RG12QT,51.450547,-0.970782
RG12QU,51.449464,-0.969102
RG12QW,51.449308,-0.968852
RG12QX,51.449385,-0.969513
RG12QZ,51.448902,-0.968625
RG12RA,51.446474,-0.966657
RG12RB,51.447032,-0.966745
RG12RD,51.447746,-0.968003
RG12RE,51.446485,-0.969002
RG12RF,51.446264,-0.969367
RG12RZ,51.451435,-0.970517
RG12SA,51.450739,-0.968943
RG12SB,51.451306,-0.969002
RG12SE,51.450272,-0.968997
RG12SF,51.450651,-0.968275
RG12SJ,51.449351,-0.966664
RG12SN,51.450132,-0.967331
RG12SR,51.449796,-0.968
RG12SS,51.44919,-0.967554
RG12ST,51.449767,-0.966778
RG12SU,51.449176,-0.966208
RG12SW,51.449965,-0.968953
RG12SX,51.448662,-0.96686
RG12TB,51.449564,-0.966357
RG12TD,51.447507,-0.966397
RG12TF,51.447727,-0.965996
RG12TG,51.447012,-0.965508
RG12TH,51.449096,-0.966074
RG12TS,51.448127,-0.965454
RG12TT,51.447542,-0.965439
RG12YQ,51.431561,-0.971252
RG13AA,51.454714,-0.967047
RG13AB,51.455071,-0.964693
RG13AD,51.458021,-0.966664
RG13AE,51.454455,-0.96629
RG13AF,51.45477,-0.96837
RG13AG,51.455434,-0.967103
RG13AH,51.455062,-0.965729
RG13AJ,51.454447,-0.967427
RG13AQ,51.452981,-0.948117
RG13AR,51.455049,-0.967134
RG13AY,51.45447,-0.96698
RG13BA,51.455358,-0.965665
RG13BB,51.456092,-0.968383
RG13BD,51.456271,-0.966191
RG13BE,51.455574,-0.966575
RG13BJ,51.454613,-0.964789
RG13BQ,51.455116,-0.967844
RG13BW,51.454443,-0.96393
RG13BY,51.454748,-0.9636
RG13DD,51.455044,-0.963729
RG13DG,51.456199,-0.95904
RG13DH,51.4566,-0.959543
RG13DP,51.456199,-0.95904
RG13DQ,51.456199,-0.95904
RG13DR,51.454817,-0.959431
RG13DS,51.456267,-0.954648
RG13DW,51.455516,-0.956047
RG13EA,51.456933,-0.951668
RG13ED,51.455021,-0.960131
RG13EE,51.455089,-0.960677
RG13EG,51.45417,-0.962468
RG13EH,51.456138,-0.967403
RG13EJ,51.456153,-0.969101
RG13EN,51.455315,-0.958757
RG13EQ,51.455806,-0.958401
RG13ER,51.454737,-0.967486
RG13ES,51.455215,-0.961638
RG13EU,51.455676,-0.968047
RG13EW,51.455315,-0.958757
RG13EY,51.455078,-0.968622
RG13FA,51.457025,-0.956919
RG13FB,51.455175,-0.968332
RG13FD,51.457055,-0.965232
RG13FE,51.454613,-0.964789
RG13FF,51.454613,-0.966726
RG13FG,51.457384,-0.956854
RG13FH,51.457654,-0.956848
RG13FJ,51.457692,-0.954898
RG13FL,51.457683,-0.956006
RG13FN,51.457356,-0.955553
RG13FP,51.457306,-0.954135
RG13FQ,51.457424,-0.953298
RG13FR,51.454677,-0.962767
RG13FS,51.454677,-0.962767
RG13FW,51.456834,-0.962589
RG13FX,51.456637,-0.959657
RG13FY,51.456785,-0.960143
RG13FZ,51.456375,-0.960555
RG13GB,51.456664,-0.960721
RG13GD,51.457066,-0.954486
RG13GE,51.456914,-0.960471
RG13GF,51.456363,-0.956258
RG13GG,51.456614,-0.955144
RG13GH,51.456943,-0.953755
RG13GJ,51.456918,-0.956015
RG13GQ,51.456442,-0.960942
RG13GR,51.456279,-0.959809
RG13GT,51.456112,-0.960273
RG13GU,51.456112,-0.960273
RG13GX,51.456834,-0.961639
RG13GY,51.457033,-0.961749
RG13HA,51.454257,-0.952046
RG13HB,51.454252,-0.951456
RG13HD,51.454924,-0.952218
RG13HE,51.454522,-0.951464
RG13HF,51.455114,-0.951407
RG13HG,51.455899,-0.954685
RG13HH,51.455138,-0.953998
RG13HJ,51.45536,-0.955613
RG13HP,51.456928,-0.962111
RG13HQ,51.455562,-0.954218
RG13HS,51.457497,-0.959442
RG13HU,51.456377,-0.961735
RG13HW,51.456525,-0.965466
RG13HX,51.455404,-0.951559
RG13JA,51.455378,-0.963658
RG13JB,51.453782,-0.951265
RG13JD,51.457944,-0.963246
RG13JE,51.454557,-0.958458
RG13JF,51.454785,-0.957791
RG13JG,51.45493,-0.956967
RG13JH,51.4582,-0.967667
RG13JJ,51.455282,-0.96322
RG13JL,51.455173,-0.955862
RG13JN,51.454655,-0.953318
RG13JP,51.455094,-0.958201
RG13JQ,51.455327,-0.964183
RG13JR,51.454219,-0.95281
RG13JS,51.454189,-0.950522
RG13JT,51.455083,-0.94994
RG13JU,51.454991,-0.950719
RG13JW,51.454534,-0.959883
RG13JX,51.455407,-0.950983
RG13JY,51.456157,-0.951326
RG13JZ,51.455316,-0.956886
RG13LA,51.456178,-0.952635
RG13LB,51.453873,-0.949291
RG13LD,51.453907,-0.950097
RG13LE,51.453213,-0.948855
RG13LF,51.453385,-0.951015
RG13LH,51.453831,-0.951682
RG13LJ,51.454274,-0.947915
RG13LL,51.455497,-0.948981
RG13LN,51.454322,-0.948288
RG13LP,51.456206,-0.949828
RG13LQ,51.453752,-0.950834
RG13LR,51.45673,-0.949039
RG13LS,51.456544,-0.950338
RG13LT,51.457629,-0.946954
RG13LU,51.459485,-0.944398
RG13LW,51.455346,-0.949186
RG13LX,51.457195,-0.949777
RG13LY,51.456365,-0.948428
RG13NA,51.456264,-0.947178
RG13NB,51.455855,-0.947792
RG13ND,51.456185,-0.946403
RG13NE,51.45601,-0.945975
RG13NF,51.455175,-0.948081
RG13NG,51.457116,-0.960999
RG13NH,51.454765,-0.947558
RG13NJ,51.454277,-0.946217
RG13NL,51.454456,-0.947177
RG13NN,51.454041,-0.947042
RG13NP,51.456048,-0.960145
RG13NQ,51.45484,-0.946909
RG13NU,51.453214,-0.949062
RG13NX,51.453108,-0.94928
RG13NY,51.453577,-0.94722
RG13NZ,51.454334,-0.944618
RG13PA,51.454181,-0.943493
RG13PB,51.454855,-0.94237
RG13PE,51.455108,-0.9407
RG13PG,51.455457,-0.941526
RG13PH,51.456661,-0.945356
RG13PJ,51.457295,-0.947903
RG13PN,51.456944,-0.947825
RG13PP,51.455725,-0.943112
RG13PQ,51.456065,-0.943052
RG13PR,51.45518,-0.942626
RG13PS,51.454887,-0.94508
RG13PW,51.456596,-0.946149
RG13PY,51.456831,-0.948331
RG13QA,51.452922,-0.942592
RG13QB,51.452151,-0.941804
RG13QD,51.454875,-0.943785
RG13QE,51.455609,-0.944209
RG13QF,51.454033,-0.942092
RG13QG,51.455349,-0.945472
RG13QH,51.455802,-0.94585
RG13QJ,51.455593,-0.945639
RG13QL,51.45615,-0.944605
RG13QN,51.455641,-0.943805
RG13QQ,51.45514,-0.945276
RG13QW,51.454971,-0.943394
RG13UG,51.431561,-0.971252
RG13UJ,51.431561,-0.971252
RG13UL,51.431561,-0.971252
RG13WN,51.431562,-0.971231
RG13WU,51.431561,-0.971252
RG13XB,51.431561,-0.971252
RG13XD,51.431561,-0.971252
RG13XE,51.431561,-0.971252
RG13YD,51.431561,-0.971252
RG13YL,51.458181,-0.967703
RG14AE,51.45446,-0.960734
RG14AF,51.45125,-0.967888
RG14AP,51.453417,-0.962608
RG14AQ,51.453986,-0.960961
RG14AR,51.453839,-0.967772
RG14AU,51.4531,-0.965407
RG14AW,51.452466,-0.967083
RG14AY,51.453927,-0.961394
RG14AZ,51.45311,-0.964457
RG14BE,51.453799,-0.965104
RG14BQ,51.453866,-0.963756
RG14BS,51.453236,-0.963583
RG14BW,51.453409,-0.961866
RG14BX,51.45361,-0.961157
RG14DA,51.454035,-0.960427
RG14DG,51.453711,-0.960256
RG14DH,51.453187,-0.959065
RG14DJ,51.453109,-0.958355
RG14DL,51.452429,-0.958866
RG14DN,51.452686,-0.958414
RG14DP,51.452481,-0.957599
RG14DQ,51.453881,-0.961381
RG14DR,51.452397,-0.958306
RG14DT,51.45244,-0.95806
RG14DU,51.453157,-0.957727
RG14DX,51.452891,-0.95708
RG14EA,51.453173,-0.957361
RG14EB,51.452952,-0.96002
RG14ED,51.452417,-0.959321
RG14EE,51.453409,-0.959794
RG14EF,51.453396,-0.959406
RG14EG,51.452284,-0.959676
RG14EH,51.453209,-0.960604
RG14EJ,51.454144,-0.958525
RG14EN,51.453884,-0.961504
RG14EQ,51.454046,-0.957678
RG14ES,51.454027,-0.957549
RG14ET,51.453278,-0.967231
RG14EX,51.454089,-0.958261
RG14EZ,51.45372,-0.959306
RG14FE,51.452978,-0.952809
RG14FF,51.45191,-0.966232
RG14FG,51.452117,-0.966271
RG14FH,51.451835,-0.960673
RG14FJ,51.452168,-0.965788
RG14FL,51.453148,-0.95362
RG14FN,51.453793,-0.962398
RG14FQ,51.451481,-0.967401
RG14FR,51.453357,-0.962898
RG14FS,51.454437,-0.968097
RG14FU,51.454784,-0.968723
RG14GP,51.452068,-0.96679
RG14GQ,51.451993,-0.967526
RG14HJ,51.454143,-0.955431
RG14HP,51.453294,-0.955018
RG14HX,51.453055,-0.952333
RG14JB,51.453018,-0.966409
RG14JE,51.451136,-0.966135
RG14JG,51.452977,-0.951687
RG14JH,51.452993,-0.955457
RG14JJ,51.453569,-0.957617
RG14JS,51.451694,-0.961142
RG14JT,51.451546,-0.961635
RG14JU,51.451806,-0.961615
RG14JW,51.452651,-0.955479
RG14LS,51.45328,-0.950307
RG14LY,51.453523,-0.952437
RG14LZ,51.453523,-0.952437
RG14NH,51.453601,-0.958992
RG14NN,51.453586,-0.958359
RG14NQ,51.453053,-0.956204
RG14NX,51.453603,-0.957343
RG14NY,51.453507,-0.956697
RG14NZ,51.45347,-0.956612
RG14PD,51.452464,-0.953699
RG14PE,51.452879,-0.953848
RG14PF,51.452698,-0.953694
RG14PG,51.452651,-0.952486
RG14PH,51.450875,-0.96709
RG14PL,51.452924,-0.954811
RG14PN,51.453933,-0.968245
RG14PP,51.451881,-0.962908
RG14PQ,51.452583,-0.95289
RG14PS,51.452645,-0.968043
RG14PW,51.452542,-0.953352
RG14PX,51.453482,-0.964973
RG14PZ,51.45244,-0.953958
RG14QA,51.4513,-0.967204
RG14QD,51.451073,-0.9671
RG14QE,51.453933,-0.963107
RG14QH,51.451408,-0.966387
RG14QL,51.452624,-0.967476
RG14QN,51.452778,-0.963651
RG14QP,51.452189,-0.967305
RG14QS,51.452236,-0.965369
RG14QT,51.452379,-0.964379
RG14QU,51.452557,-0.965124
RG14QX,51.452481,-0.963701
RG14QY,51.453957,-0.964833
RG14QZ,51.453908,-0.964388
RG14RA,51.45291,-0.963195
RG14RB,51.452341,-0.962106
RG14RD,51.452003,-0.961481
RG14RE,51.454305,-0.961515
RG14RF,51.453287,-0.961322
RG14RH,51.452592,-0.963036
RG14RJ,51.452868,-0.96172
RG14RL,51.452744,-0.965911
RG14RQ,51.452264,-0.960539
RG14RS,51.452677,-0.961379
RG14RT,51.452205,-0.960987
RG14RU,51.454561,-0.969094
RG14RY,51.454697,-0.96922
RG14SA,51.454548,-0.968527
RG14SJ,51.451368,-0.967864
RG14SQ,51.45237,-0.968453
RG14SY,51.45377,-0.968104
RG14TA,51.454305,-0.961515
RG14TB,51.454305,-0.961515
RG14TD,51.454305,-0.961515
RG14TE,51.454305,-0.961515
RG14WQ,51.431561,-0.971252
RG15AE,51.449482,-0.963107
RG15AG,51.450925,-0.96242
RG15AJ,51.450491,-0.965401
RG15AL,51.450488,-0.965055
RG15AN,51.451022,-0.95933
RG15AQ,51.450965,-0.962051
RG15AS,51.451747,-0.955782
RG15AU,51.452214,-0.951877
RG15AW,51.448042,-0.956951
RG15AY,51.452764,-0.948986
RG15AZ,51.448593,-0.943968
RG15BA,51.452598,-0.949493
RG15BB,51.45229,-0.955344
RG15BD,51.451407,-0.958156
RG15BF,51.44595,-0.955108
RG15BG,51.451348,-0.962647
RG15BJ,51.45069,-0.966426
RG15BL,51.450971,-0.964771
RG15BN,51.451183,-0.964349
RG15BQ,51.444532,-0.964493
RG15BS,51.451692,-0.959862
RG15BW,51.451592,-0.960621
RG15BY,51.452351,-0.954976
RG15DA,51.450801,-0.965869
RG15DB,51.452676,-0.952197
RG15DD,51.452745,-0.951801
RG15DE,51.452901,-0.951107
RG15DG,51.451499,-0.957333
RG15DH,51.449317,-0.96478
RG15DJ,51.445438,-0.959385
RG15DN,51.44882,-0.964589
RG15DP,51.445059,-0.963264
RG15DQ,51.449623,-0.964888
RG15DR,51.448974,-0.964672
RG15DS,51.448354,-0.964744
RG15DT,51.448175,-0.964777
RG15DU,51.448776,-0.963684
RG15DW,51.446114,-0.963629
RG15DZ,51.448561,-0.962739
RG15EA,51.446468,-0.962988
RG15EB,51.445278,-0.962612
RG15ED,51.444727,-0.962337
RG15EJ,51.446131,-0.96455
RG15EN,51.445893,-0.964865
RG15ES,51.444093,-0.956739
RG15EU,51.446649,-0.959041
RG15EX,51.448594,-0.959221
RG15EY,51.44895,-0.959745
RG15HB,51.444506,-0.959665
RG15HD,51.446912,-0.958215
RG15HE,51.446605,-0.958078
RG15HF,51.444794,-0.958709
RG15HG,51.446783,-0.960966
RG15HH,51.445899,-0.96067
RG15HJ,51.445544,-0.961995
RG15HL,51.444417,-0.957811
RG15HN,51.44536,-0.957703
RG15HP,51.445809,-0.956599
RG15HQ,51.447161,-0.959936
RG15HR,51.444957,-0.956791
RG15HT,51.444531,-0.956427
RG15HU,51.443495,-0.955256
RG15HW,51.445451,-0.96078
RG15HX,51.443083,-0.954253
RG15HY,51.443414,-0.953172
RG15HZ,51.44503,-0.951926
RG15JA,51.445324,-0.950581
RG15JB,51.443683,-0.954087
RG15JD,51.444097,-0.954178
RG15JE,51.445101,-0.953718
RG15JF,51.446026,-0.954724
RG15JG,51.445389,-0.955875
RG15JH,51.446244,-0.952863
RG15JJ,51.445874,-0.945791
RG15JN,51.445178,-0.950326
RG15JP,51.446295,-0.945595
RG15JQ,51.444417,-0.952688
RG15JS,51.444347,-0.951927
RG15JT,51.446089,-0.948472
RG15LA,51.450951,-0.956381
RG15LE,51.449017,-0.956339
RG15LF,51.450562,-0.957182
RG15LH,51.449809,-0.953429
RG15LJ,51.448379,-0.954411
RG15LL,51.447787,-0.954583
RG15LN,51.448379,-0.954411
RG15LP,51.449624,-0.952843
RG15LR,51.450745,-0.955523
RG15LT,51.447531,-0.955107
RG15LU,51.449997,-0.952259
RG15LW,51.448379,-0.954411
RG15LX,51.449561,-0.951687
RG15LY,51.448854,-0.951177
RG15LZ,51.447183,-0.95038
RG15NA,51.44945,-0.950429
RG15NB,51.4498,-0.95032
RG15ND,51.450953,-0.951604
RG15NE,51.450941,-0.951244
RG15NG,51.450985,-0.950178
RG15NH,51.44942,-0.949063
RG15NJ,51.449096,-0.948077
RG15NL,51.449826,-0.949312
RG15NN,51.449115,-0.947184
RG15NP,51.450771,-0.949406
RG15NQ,51.450989,-0.950581
RG15NR,51.450641,-0.948934
RG15NS,51.451915,-0.94961
RG15NT,51.448963,-0.949303
RG15NU,51.452198,-0.950107
RG15NW,51.449249,-0.947095
RG15NX,51.452307,-0.94914
RG15NY,51.452473,-0.95059
RG15PA,51.451255,-0.954259
RG15PB,51.451493,-0.953692
RG15PD,51.45098,-0.953439
RG15PE,51.451199,-0.952965
RG15PF,51.448902,-0.952471
RG15PG,51.448734,-0.951784
RG15PH,51.446781,-0.956678
RG15PJ,51.447468,-0.953079
RG15PL,51.446853,-0.95364
RG15PN,51.446809,-0.954792
RG15PP,51.446249,-0.951409
RG15PR,51.446943,-0.951638
RG15PS,51.447343,-0.951139
RG15PT,51.447897,-0.950781
RG15PU,51.448223,-0.950947
RG15PW,51.447992,-0.952169
