Postcode,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distance to sea,LSOA21 Code,Lower layer super output area 2021,MSOA21 Code,Middle layer super output area 2021,Census output area 2021
RG20AA,51.421419,-0.9724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5653,E01016437,Reading 018B,E02003406,Whitley Wood,E00083026
RG20AB,51.44594,-0.969331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0914,E01016375,Reading 014B,E02003402,Southampton Street & Redlands Road,E00082714
RG20AD,51.445576,-0.968908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0683,E01016375,Reading 014B,E02003402,Southampton Street & Redlands Road,E00082714
RG20AE,51.445497,-0.969997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0268,E01016375,Reading 014B,E02003402,Southampton Street & Redlands Road,E00082735
RG20AF,51.445532,-0.967945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0937,E01016375,Reading 014B,E02003402,Southampton Street & Redlands Road,E00082731
RG20AG,51.444782,-0.970652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9355,E01016376,Reading 014C,E02003402,Southampton Street & Redlands Road,E00082715
RG20AH,51.438648,-0.972338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2734,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082742
RG20AJ,51.431864,-0.97285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5841,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177279
RG20AL,51.431561,-0.971252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6042,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177279
RG20AN,51.445805,-0.968327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.109,E01016375,Reading 014B,E02003402,Southampton Street & Redlands Road,E00082714
RG20AP,51.444382,-0.969064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9447,E01016375,Reading 014B,E02003402,Southampton Street & Redlands Road,E00082714
RG20AQ,51.444405,-0.968618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9608,E01016375,Reading 014B,E02003402,Southampton Street & Redlands Road,E00082714
RG20AR,51.443732,-0.967755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9207,E01016376,Reading 014C,E02003402,Southampton Street & Redlands Road,E00082732
RG20AS,51.443173,-0.967609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8697,E01016376,Reading 014C,E02003402,Southampton Street & Redlands Road,E00082715
RG20AT,51.44639,-0.97148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0701,E01016374,Reading 014A,E02003402,Southampton Street & Redlands Road,E00082729
RG20AU,51.442344,-0.970405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7006,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082737
RG20AW,51.444435,-0.967912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9856,E01016375,Reading 014B,E02003402,Southampton Street & Redlands Road,E00082714
RG20AX,51.444041,-0.967158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9699,E01016375,Reading 014B,E02003402,Southampton Street & Redlands Road,E00082733
RG20AY,51.443725,-0.967007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9432,E01016376,Reading 014C,E02003402,Southampton Street & Redlands Road,E00082732
RG20AZ,51.44346,-0.967395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9048,E01016376,Reading 014C,E02003402,Southampton Street & Redlands Road,E00082715
RG20BA,51.445728,-0.966746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1503,E01016375,Reading 014B,E02003402,Southampton Street & Redlands Road,E00082731
RG20BB,51.446161,-0.966894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1887,E01016375,Reading 014B,E02003402,Southampton Street & Redlands Road,E00082731
RG20BD,51.445061,-0.967524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0599,E01016375,Reading 014B,E02003402,Southampton Street & Redlands Road,E00082733
RG20BE,51.444012,-0.97085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8527,E01016376,Reading 014C,E02003402,Southampton Street & Redlands Road,E00082715
RG20BF,51.418422,-0.971942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2844,E01016439,Reading 018C,E02003406,Whitley Wood,E00177356
RG20BH,51.447758,-0.972629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1713,E01016374,Reading 014A,E02003402,Southampton Street & Redlands Road,E00082722
